Location,IW TGT,As on 18TH,MASS TGT,As on 18TH,TRADER TGT,As on 18TH,WALK TGT,As on 18TH,DEC  Target,As on 18TH,Balance,Bal/Day
ANE,3.5,2.157563,0,0.1763988,0.5,0.129513,2,0.9174726,6,3.3809474,2.6190526,3.4458
BNG,8,2.9647914,15,5.7263513,86,58.5502446,36,21.9810283,145,89.2224156,55.7775844,5.07068949090909
BOM,12,4.2066591,3,1.7966307,5,4.0292629,7,3.6039242,27,13.6364769,13.3635231,1.21486573636364
BRG,10,3.7103303,0,0,2,0.6259025,3,1.7931584,15,6.1293912,8.8706088,0.806418981818182
CHD,6.5,2.9121509,0.5,0.1605125,4,0.6399787,4,2.1737406,15,5.8863827,9.1136173,0.828510663636364
CUR,13,6.2806209,0,0,0,0.2765359,2,0.9179557,15,7.4751125,7.5248875,0.684080681818182
KEN,12,4.847604,0,0,6,1.0399275,10,7.6712751,28,13.5588066,14.4411934,1.31283576363636
KER,24,11.7955637,2,0.7590297,10,6.0022296,8,3.79241529999999,44,22.3492383,21.6507617,1.96825106363636
KNT,12,4.9469097,0,0,2,1.4136236,4,2.0913344,18,8.4518677,9.5481323,0.868012027272727
RNA,0.5,0.0051184,0,0,48,0,0.5,0.7216609,49,0.7267793,48.2732207,4.38847460909091
VKN,2.5,1.5072905,1.5,0.6992055,0.5,0.2575214,1.5,0.373023,6,2.8370404,3.1629596,0.287541781818182
YED,22,11.6068501,6,0.8889811,6,2.9611986,12,5.20469669999999,46,20.6617265,25.3382735,2.30347940909091
